,FEAT NUMBER,SUMMARY,Priority,STATUS,3.0 Commitment Status,Target Month,Comment,DRI ,Dev Resources required for max parallization,Dev Resources required for max parallization and 60% productivity ,Total Months Needed for 1 person by Dev (Everything from start to finish),Number of Months (Dev),"Num of QA required(rule: 3:1, 1 QA for 3 dev)","Num of QA required(rule: 3:1, 1 QA for 3 dev) with 60% productivity ",Total resources required,sizing (refer sheet 2 for guidance),Additional Resources,Sizing Comment,Dependency Numbers (Comma Separated List),DEPENDENCY,One line dependency description ,Resourcing done?,Any new software needed? 
41,"Go Based WF
(Workflow Migration - MySQL)
Phase 2:
~18 people/10 months","Software Profile Creation
- ECDR Based",P0,Not Started,Committed,,,Omkar Pradeep Salvi,2,3.333333333,18,9,1,1.666666667,5,XL (8-13 months),,,"33 (dev-blocker),34  (dev-blocker),35  (dev-blocker),36  (dev-blocker)",,,,
42,,Create DBServer VM (Provision SI) from SW profile,P0,Not Started,Approved,,,Omkar Pradeep Salvi,2,3.333333333,12,6,1,1.666666667,5,,,,"33 (dev-blocker),34  (dev-blocker),35  (dev-blocker),36  (dev-blocker), 41",,,,
43,,"Create DBServer VM (Provision SI)
from TM snapshot",P0,Not Started,Approved,,,Omkar Pradeep Salvi,,0,,#DIV/0!,0,0,0,,,,"33 (dev-blocker),34  (dev-blocker),35  (dev-blocker),36  (dev-blocker), 49",,,,
44,,Cloud Init to Go,P0,Not Started,Approved,,,Omkar Pradeep Salvi,1,1.666666667,5,5,1,1.666666667,3.333333333,,,,"33 (dev-blocker),34  (dev-blocker),35  (dev-blocker),36  (dev-blocker),7",,,,
45,,Register DBServer (via Cloud Init) (Provision SI),P0,Not Started,Approved,,,Omkar Pradeep Salvi,2,3.333333333,20,10,1,1.666666667,5,,,,"33 (dev-blocker),34  (dev-blocker),35  (dev-blocker),36  (dev-blocker)",,,,
46,,Brownfield Register DBServer,P0,Not Started,Approved,,,Omkar Pradeep Salvi,3,5,30,10,1,1.666666667,6.666666667,,,,"33 (dev-blocker),34  (dev-blocker),35  (dev-blocker),36  (dev-blocker)",,,,
47,,Provision DB(Provision SI),P0,Not Started,Approved,,,Omkar Pradeep Salvi,1,1.666666667,9,9,1,1.666666667,3.333333333,,,,"33 (dev-blocker),34  (dev-blocker),35  (dev-blocker),36  (dev-blocker)",,,,
48,,Register DB (Provision SI),P0,Not Started,Approved,,,Omkar Pradeep Salvi,2,3.333333333,18,9,1,1.666666667,5,,,,"33 (dev-blocker),34  (dev-blocker),35  (dev-blocker),36  (dev-blocker)",,,,
49,,Snapshot (ECDR),P0,Not Started,Committed,,,Omkar Pradeep Salvi,2,3.333333333,14,7,1,1.666666667,5,L (5-8 months),,,"33 (dev-blocker),34  (dev-blocker),35  (dev-blocker),36  (dev-blocker), 57",,,,
50,,Clone SI DB (ECDR),P0,Not Started,Approved,,,Omkar Pradeep Salvi,2,3.333333333,18,9,1,1.666666667,5,,,,"33 (dev-blocker),34  (dev-blocker),35  (dev-blocker),36  (dev-blocker), 49",,,,
51,,Replication,P0,Not Started,Approved,,,Omkar Pradeep Salvi,1,1.666666667,7,7,1,1.666666667,3.333333333,,,,"33 (dev-blocker),34  (dev-blocker),35  (dev-blocker),36  (dev-blocker), 49",,,,
52,,Curation Snapshot,P0,Not Started,Approved,,,Omkar Pradeep Salvi,1,1.666666667,5,5,1,1.666666667,3.333333333,,,,"33 (dev-blocker),34  (dev-blocker),35  (dev-blocker),36  (dev-blocker), 49",,,,
,"Go Based WF
(Workflow Migration - MySQL)
Phase 3:
~18 people/10 months","Software Profile Replication (ECDR based)
Replication can be reused",P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,1,1.666666667,2 month/1 person,,1,1.666666667,3.333333333,,,,,,,,
,,Refresh SI (ECDR),P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,2,3.333333333,6 months/2 person,,1,1.666666667,5,,,,,,,,
,,Restore SI (ECDR),P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,2,3.333333333,,,1,1.666666667,5,,,,,,,,
,,"Log Catchup/Log Copy
(Open Question/Overlap with Leaf Node)
SI/HA DBs",P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,0,0,?,,0,0,0,,,,,,,,
,,Clone HA -> HA,P0,Not Started,Dropped,,3.1?,Omkar Pradeep Salvi,1,1.666666667,?,,1,1.666666667,3.333333333,,,,,,,,
